,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
19,011200,KR7011200003,HMM,KOSPI,,24675,1,625,2.6,24050,24900,23850,1967516,48171990100,25292849563800,1025039496,STK
20,005490,KR7005490008,POSCO홀딩스,KOSPI,,312000,1,1000,0.32,314000,320000,309500,314688,98737590500,25251081024000,80932952,STK
21,015760,KR7015760002,한국전력,KOSPI,,37500,2,-1150,-2.98,38350,38400,36900,3883414,145226600025,24073652887500,641964077,STK
22,402340,KR7402340004,SK스퀘어,KOSPI,,180500,1,7600,4.4,171300,181500,169100,495411,88561352050,23923624869000,132540858,STK
23,042660,KR7042660001,한화오션,KOSPI,,77700,1,1000,1.3,79000,79200,77500,1350264,105460693200,23808320713800,306413394,STK
24,009540,KR7009540006,HD한국조선해양,KOSPI,,327000,1,6500,2.03,325000,331500,321500,258788,84604273250,23142808932000,70773116,STK
25,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,422500,1,3500,0.84,417500,427000,413000,341456,143662168500,22588948980000,53464968,KSQ
26,000810,KR7000810002,삼성화재,KOSPI,,474500,1,11500,2.48,465000,479500,462500,97321,46073741250,21832293047500,46011155,STK
27,064350,KR7064350002,현대로템,KOSPI,,194600,1,10200,5.53,187200,197700,186800,1550169,299236501100,21239090217800,109142293,STK
28,138040,KR7138040001,메리츠금융지주,KOSPI,,116700,1,1300,1.13,114800,117100,114000,190154,22057740700,21007688999100,180014473,STK
29,316140,KR7316140003,우리금융지주,KOSPI,,25100,2,-300,-1.18,25950,25950,25050,2731533,69076153450,18639046675100,742591501,STK
30,051910,KR7051910008,LG화학,KOSPI,,260500,1,6000,2.36,258000,266500,256000,266855,69488618000,18389305351500,70592343,STK
31,096770,KR7096770003,SK이노베이션,KOSPI,,116200,1,3000,2.65,113700,118700,113700,545920,63329620950,17550240971200,151034776,STK
32,010130,KR7010130003,고려아연,KOSPI,,855000,2,-24000,-2.73,875000,885000,849000,16630,14366848500,17119898415000,20023273,STK
33,259960,KR7259960003,크래프톤,KOSPI,,359000,2,-4500,-1.24,360000,360500,352000,107988,38468787500,17013252684000,47390676,STK
34,033780,KR7033780008,KT&G,KOSPI,,137500,1,3000,2.23,134000,138000,134000,214905,29410015200,16783593337500,122062497,STK
35,267260,KR7267260008,HD현대일렉트릭,KOSPI,,451000,3,0,0.0,453000,455500,445000,175915,79179526000,16257257885000,36047135,STK
36,034730,KR7034730002,SK,KOSPI,,222500,1,13500,6.46,215500,227000,211500,586544,129376883000,16131851417500,72502703,STK
37,024110,KR7024110009,기업은행,KOSPI,,20200,1,50,0.25,20400,20550,20100,917172,18604141975,16108002553800,797425869,STK
38,010140,KR7010140002,삼성중공업,KOSPI,,17690,1,370,2.14,17350,17770,17120,7522216,131485451220,15567200000000,880000000,STK
39,323410,KR7323410001,카카오뱅크,KOSPI,,30200,1,150,0.5,30250,30550,29550,1171024,35232510250,14405080997400,476989437,STK
40,030200,KR7030200000,KT,KOSPI,,55800,2,-400,-0.71,56100,56200,55500,338173,18869928500,14062810023000,252021685,STK
41,006400,KR7006400006,삼성SDI,KOSPI,,170100,2,-4900,-2.8,175500,176900,169700,631423,108245103000,13707598653000,80585530,STK
42,003550,KR7003550001,LG,KOSPI,,82200,1,3300,4.18,78500,82800,78200,431596,35065432650,12926045763000,157251165,STK
43,018260,KR7018260000,삼성에스디에스,KOSPI,,165900,1,1600,0.97,164400,166800,162600,191890,31553233700,12836977020000,77377800,STK
44,006800,KR7006800007,미래에셋증권,KOSPI,,22000,1,1300,6.28,21600,23050,21150,7487790,165766196825,12546960976000,570316408,STK
45,079550,KR7079550000,LIG넥스원,KOSPI,,569000,1,45000,8.59,554000,575000,549000,250692,141876334500,12518000000000,22000000,STK
46,066570,KR7066570003,LG전자,KOSPI,,73600,3,0,0.0,73800,74100,73200,314541,23160920350,12044479110400,163647814,STK
47,017670,KR7017670001,SK텔레콤,KOSPI,,55100,1,500,0.92,55000,56000,54800,847268,46900163850,11834931920300,214790053,STK
48,352820,KR7352820005,하이브,KOSPI,,276500,2,-5000,-1.78,280000,280000,266500,377240,103431150750,11516804820500,41652097,STK
49,377300,KR7377300009,카카오페이,KOSPI,,85300,1,3300,4.02,82200,86300,80300,2114547,176832868450,11489626974600,134696682,STK
50,003230,KR7003230000,삼양식품,KOSPI,,1470000,1,34000,2.37,1455000,1485000,1440000,39659,58121972000,11073532050000,7533015,STK
51,267250,KR7267250009,HD현대,KOSPI,,135700,1,1400,1.04,133300,136600,130100,225596,30306522150,10719361634500,78993085,STK
52,086280,KR7086280005,현대글로비스,KOSPI,,141500,1,800,0.57,141000,143000,138700,180327,25550390350,10612500000000,75000000,STK
53,272210,KR7272210006,한화시스템,KOSPI,,55600,1,2600,4.91,57100,57300,55300,1996539,112074688550,10503918028400,188919389,STK
54,009150,KR7009150004,삼성전기,KOSPI,,135100,2,-1600,-1.17,137500,138900,134700,281284,38196010950,10091118329600,74693696,STK
55,000150,KR7000150003,두산,KOSPI,,605000,1,4000,0.67,615000,615000,594000,89243,53911719000,9996920175000,16523835,STK
56,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,100800,1,500,0.5,101600,103000,100000,280355,28331891050,9858375475200,97801344,KSQ
57,003670,KR7003670007,포스코퓨처엠,KOSPI,,123250,2,-1050,-0.84,125100,127500,122400,231220,28647685950,9547341865000,77463220,STK
58,005830,KR7005830005,DB손해보험,KOSPI,,133600,1,5100,3.97,128500,134500,128500,284483,37802260850,9458880000000,70800000,STK
59,042700,KR7042700005,한미반도체,KOSPI,,94400,2,-1600,-1.67,96200,96200,94400,331238,31410408500,8997471680000,95312200,STK
60,047050,KR7047050000,포스코인터내셔널,KOSPI,,50800,1,500,0.99,50400,51200,49850,350697,17707623050,8936877630400,175922788,STK
61,003490,KR7003490000,대한항공,KOSPI,,23850,1,50,0.21,23950,24000,23650,1323844,31562699075,8782062764850,368220661,STK
62,298040,KR7298040007,효성중공업,KOSPI,,941000,2,-19000,-1.98,946000,957000,870000,95922,89435320000,8774399668000,9324548,STK
